
Run ============= 0 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 0 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 0 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 1 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 1 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 1 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 2 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 2 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 2 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 3 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
Run ============= 3 {0: [-0.05266725647455246, 0.092558979556847, -0.011488891883254016, 0.06727502837394146, 0.08698588479838232, 0.0541169345909319], 1: [0.0480112175787945, 0.023195413760241503, 0.07877976259503926, 0.06472510762492072, -0.01742269044318201, 0.08650635015277414], 2: [-0.006950515931405965, 0.01877925376937739, 0.0840672771268231, -0.05415869108884706, -0.06402524143024324, 0.0037176175328414553], 3: [0.0036221656864487087, -0.07682464508543546, -0.02572596576040409, -0.09970846117889098, 0.012865366645352894, 0.05224145438395285], 4: [0.029132922926729844, 0.00036160888194782805, 0.03876923901273735, -0.06267152086375903, -0.028072056425453875, 0.08552374503210805], 5: [-0.02706091054803783, -0.0776536446797743, 0.08904516400668097, 0.047856188204116835, 0.0260223576535096, 0.03694893170713922]}
